schedule_date,season_year,week_number,HT_season_record_OU,HT_season_record_AS,HT_season_record_SU,team_home,home_score,away_score,team_away,AT_season_record_SU,AT_season_record_AS,AT_season_record_OU,team_favorite_id,favorite_spread,over_under_total,home_SU,away_SU,home_AS,away_AS,OU_result,stadium,stadium_neutral,weather_detail,temperature,wind_mph,humidity,fav_home_away,HT_season_wins_SU,HT_season_losses_SU,HT_season_ties_SU,HT_season_wins_AS,HT_season_losses_AS,HT_season_pushes_AS,AT_season_losses_AS,AT_season_pushes_AS,AT_season_wins_AS,AT_season_wins_SU,AT_season_losses_SU,AT_season_ties_SU,HT_season_overs,HT_season_unders,HT_season_pushes_OU,AT_season_overs,AT_season_unders,AT_season_pushes_OU
1/2/2000,1999,17,5-10-0,7-7-1,13-2-0,Jacksonville Jaguars,24,7,Cincinnati Bengals,4-11-0,5-9-1,9-6-0,JAX,-9,39.5,Win,Loss,Win,Loss,Under,EverBank Field,FALSE,,63,4,79,Home,13,2,0,7,7,1,9,1,5,4,11,0,5,10,0,9,6,0
1/2/2000,1999,17,6-9-0,8-7-0,9-6-0,Kansas City Chiefs,38,41,Oakland Raiders,7-8-0,7-7-1,10-5-0,KC,-5,39,Loss,Win,Loss,Win,Over,Arrowhead Stadium,FALSE,,50,18,59,Home,9,6,0,8,7,0,7,1,7,7,8,0,6,9,0,10,5,0
1/2/2000,1999,17,8-7-0,4-10-1,9-6-0,Minnesota Vikings,24,17,Detroit Lions,8-7-0,7-8-0,9-6-0,MIN,-7,48.5,Win,Loss,Push,Push,Under,Hubert H. Humphrey Metrodome,FALSE,indoor,72,0,0,Home,9,6,0,4,10,1,8,0,7,8,7,0,8,7,0,9,6,0
1/2/2000,1999,17,6-9-0,5-8-2,7-8-0,New England Patriots,20,3,Baltimore Ravens,8-7-0,9-5-1,7-8-0,BAL,-1,37.5,Win,Loss,Win,Loss,Under,Foxboro Stadium,FALSE,,42,10,86,Away,7,8,0,5,8,2,5,1,9,8,7,0,6,9,0,7,8,0
1/2/2000,1999,17,8-7-0,7-7-1,7-8-0,New York Jets,19,9,Seattle Seahawks,9-6-0,6-9-0,8-7-0,NYJ,-1,38,Win,Loss,Win,Loss,Under,Giants Stadium,FALSE,,48,7,89,Home,7,8,0,7,7,1,9,0,6,9,6,0,8,7,0,8,7,0
1/2/2000,1999,17,7-8-0,9-6-0,4-11-0,Philadelphia Eagles,38,31,St. Louis Rams,13-2-0,13-2-0,8-7-0,LAR,-8,42,Win,Loss,Win,Loss,Over,Veterans Stadium,FALSE,,47,9,83,Away,4,11,0,9,6,0,2,0,13,13,2,0,7,8,0,8,7,0
1/2/2000,1999,17,8-7-0,6-9-0,6-9-0,Pittsburgh Steelers,36,47,Tennessee Titans,12-3-0,8-5-2,8-7-0,TEN,-4,38,Loss,Win,Loss,Win,Over,Three Rivers Stadium,FALSE,,53,10,59,Away,6,9,0,6,9,0,5,2,8,12,3,0,8,7,0,8,7,0
1/2/2000,1999,17,9-6-0,7-8-0,9-6-0,Washington Redskins,21,10,Miami Dolphins,9-6-0,6-9-0,8-7-0,WAS,-3,44,Win,Loss,Win,Loss,Under,FedEx Field,FALSE,,53,14,74,Home,9,6,0,7,8,0,9,0,6,9,6,0,9,6,0,8,7,0
1/3/2000,1999,17,8-7-0,6-9-0,4-11-0,Atlanta Falcons,34,29,San Francisco 49ers,4-11-0,4-11-0,7-8-0,ATL,-6,46.5,Win,Loss,Loss,Win,Over,Georgia Dome,FALSE,indoor,72,0,0,Home,4,11,0,6,9,0,11,0,4,4,11,0,8,7,0,7,8,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Atlanta Falcons,36,28,San Francisco 49ers,0-0-0,0-0-0,0-0-0,ATL,-6,46.5,Win,Loss,Win,Loss,Over,Georgia Dome,FALSE,indoor,72,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Buffalo Bills,16,13,Tennessee Titans,0-0-0,0-0-0,0-0-0,BUF,-1,40,Win,Loss,Win,Loss,Under,Ralph Wilson Stadium,FALSE,,70,7,82,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Cleveland Browns,7,27,Jacksonville Jaguars,0-0-0,0-0-0,0-0-0,JAX,-10,38.5,Loss,Win,Loss,Win,Under,FirstEnergy Stadium,FALSE,,75,8,86,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Dallas Cowboys,14,41,Philadelphia Eagles,0-0-0,0-0-0,0-0-0,DAL,-6,39.5,Loss,Win,Loss,Win,Over,Texas Stadium,FALSE,,95,7,32,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Green Bay Packers,16,20,New York Jets,0-0-0,0-0-0,0-0-0,GB,-2,44,Loss,Win,Loss,Win,Under,Lambeau Field,FALSE,,69,13,87,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Kansas City Chiefs,14,27,Indianapolis Colts,0-0-0,0-0-0,0-0-0,IND,-4,44,Loss,Win,Loss,Win,Under,Arrowhead Stadium,FALSE,,86,9,51,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Miami Dolphins,23,0,Seattle Seahawks,0-0-0,0-0-0,0-0-0,MIA,-2,36,Win,Loss,Win,Loss,Under,Sun Life Stadium,FALSE,,84,9,74,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Minnesota Vikings,30,27,Chicago Bears,0-0-0,0-0-0,0-0-0,MIN,-4,46.5,Win,Loss,Loss,Win,Over,Hubert H. Humphrey Metrodome,FALSE,indoor,72,0,0,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,New England Patriots,16,21,Tampa Bay Buccaneers,0-0-0,0-0-0,0-0-0,TB,-3,36,Loss,Win,Loss,Win,Over,Foxboro Stadium,FALSE,,63,8,95,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,New Orleans Saints,10,14,Detroit Lions,0-0-0,0-0-0,0-0-0,PICK,0,40.5,Loss,Win,Loss,Win,Under,Louisiana Superdome,FALSE,indoor,72,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,New York Giants,21,16,Arizona Cardinals,0-0-0,0-0-0,0-0-0,NYG,-6,40,Win,Loss,Loss,Win,Under,Giants Stadium,FALSE,,78,7,84,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Oakland Raiders,9,6,San Diego Chargers,0-0-0,0-0-0,0-0-0,LVR,-6,39.5,Win,Loss,Loss,Win,Under,Oakland Coliseum,FALSE,,60,12,77,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/3/2000,2000,1,0-0-0,0-0-0,0-0-0,Pittsburgh Steelers,0,16,Baltimore Ravens,0-0-0,0-0-0,0-0-0,BAL,-2,37,Loss,Win,Loss,Win,Under,Three Rivers Stadium,FALSE,,73,5,90,Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
