Since 2002,Weight,<180 lbs.,180-189 lbs.,190-199 lbs.,200-209 lbs.,210-219 lbs.,220-229 lbs.,230+ lbs.,SUM,,Since 2002,Weight,<180 lbs.,180-189 lbs.,190-199 lbs.,200-209 lbs.,210-219 lbs.,220-229 lbs.,230+ lbs.,,,,
,# Top 10 RB finishes,0,0,8,35,62,72,33,210,,,1-4 Games Played,2,17,61,99,122,125,109,,,,
,# Top 20 RB finishes,0,4,18,63,129,132,74,420,,,5-8 Games Played,1,13,45,99,129,84,104,,,,
,RBs of that Weight,8,53,218,479,672,613,515,,,,9-12 Games Played,3,7,30,95,130,121,94,,,,
,Percent Top 10,0.00%,0.00%,3.67%,7.31%,9.23%,11.75%,6.41%,,,,13+ Games Played,2,16,82,186,291,283,208,,,,
,Percent Top 20,0.00%,7.55%,8.26%,13.15%,19.20%,21.53%,14.37%,,,,# of Players ,8,53,218,479,672,613,515,,,,
,,,,,,,,,,,,% Played 1-4,25.00%,32.08%,27.98%,20.67%,18.15%,20.39%,21.17%,,,,
Since 2012,Weight,<180 lbs.,180-189 lbs.,190-199 lbs.,200-209 lbs.,210-219 lbs.,220-229 lbs.,230+ lbs.,SUM,,,% Played 5-8,12.50%,24.53%,20.64%,20.67%,19.20%,13.70%,20.19%,,,,
,# Top 10 RB finishes,0,0,4,17,34,40,15,110,,,% Played 9-12,37.50%,13.21%,13.76%,19.83%,19.35%,19.74%,18.25%,,,,
,# Top 20 RB finishes,0,1,10,34,64,77,34,220,,,% Played 13+,25.00%,30.19%,37.61%,38.83%,43.30%,46.17%,40.39%,,,,
,RBs of that Weight,7,29,167,295,379,376,310,,,,,,,,,,,,,,,
,Percent Top 10,0.00%,0.00%,2.40%,5.76%,8.97%,10.64%,4.84%,,,Since 2012,Weight,<180 lbs.,180-189 lbs.,190-199 lbs.,200-209 lbs.,210-219 lbs.,220-229 lbs.,230+ lbs.,,,,
,Percent Top 20,0.00%,3.45%,5.99%,11.53%,16.89%,20.48%,10.97%,,,,1-4 Games Played,2,12,48,65,80,88,78,,,,
,,,,,,,,,,,,5-8 Games Played,1,8,36,66,66,62,78,,,,
,,,,,,,,,,,,9-12 Games Played,3,4,25,54,74,72,58,,,,
,,,,,,,,,,,,13+ Games Played,1,5,58,110,159,154,96,,,,
,,,,,,,,,,,,# of Players,7,29,167,295,379,376,310,,,,
,,,,,,,,,,,,% Played 1-4,28.57%,41.38%,28.74%,22.03%,21.11%,23.40%,25.16%,,,,
